trait_id	file_path	trait_name	n
ukb-b-16507	/local-scratch/data/opengwas/igd/ukb-b-16507/ukb-b-16507.vcf.gz	Vitamin supplement user	64949
ukb-b-16508	/local-scratch/data/opengwas/igd/ukb-b-16508/ukb-b-16508.vcf.gz	Treatment/medication code: alendronate sodium	462933
ukb-b-16522	/local-scratch/data/opengwas/igd/ukb-b-16522/ukb-b-16522.vcf.gz	Illnesses of siblings: Prostate cancer	361394
ukb-b-16523	/local-scratch/data/opengwas/igd/ukb-b-16523/ukb-b-16523.vcf.gz	Type of meals eaten: Bought sandwiches	64949
ukb-b-16527	/local-scratch/data/opengwas/igd/ukb-b-16527/ukb-b-16527.vcf.gz	PCT where patients GP was registered: WAKEFIELD DISTRICT PCT	463010
ukb-b-16557	/local-scratch/data/opengwas/igd/ukb-b-16557/ukb-b-16557.vcf.gz	Type of fat/oil used in cooking: Dairy spread	64949
ukb-b-16559	/local-scratch/data/opengwas/igd/ukb-b-16559/ukb-b-16559.vcf.gz	Operative procedures - secondary OPCS: Y84.1 Gas and air analgesia in labour	463010
ukb-b-16565	/local-scratch/data/opengwas/igd/ukb-b-16565/ukb-b-16565.vcf.gz	How are people in household related to participant: Mother and/or father	459600
ukb-b-16573	/local-scratch/data/opengwas/igd/ukb-b-16573/ukb-b-16573.vcf.gz	Operative procedures - main OPCS: U21.2 Computed tomography NEC	463010
ukb-b-16576	/local-scratch/data/opengwas/igd/ukb-b-16576/ukb-b-16576.vcf.gz	Dried fruit intake	421764
ukb-b-1658	/local-scratch/data/opengwas/igd/ukb-b-1658/ukb-b-1658.vcf.gz	Size of red wine glass drunk: medium (175ml)	64949
ukb-b-16585	/local-scratch/data/opengwas/igd/ukb-b-16585/ukb-b-16585.vcf.gz	PCT responsible for patient data: NORTH STAFFORDSHIRE PCT	463010
ukb-b-16587	/local-scratch/data/opengwas/igd/ukb-b-16587/ukb-b-16587.vcf.gz	Diagnoses - secondary ICD10: R03.0 Elevated blood-pressure reading, without diagnosis of hypertension	463010
ukb-b-16597	/local-scratch/data/opengwas/igd/ukb-b-16597/ukb-b-16597.vcf.gz	Intended management of patient (recoded): One or more nights hospital stay	451201
ukb-b-16606	/local-scratch/data/opengwas/igd/ukb-b-16606/ukb-b-16606.vcf.gz	Diagnoses - secondary ICD10: I25.8 Other forms of chronic ischaemic heart disease	463010
ukb-b-16609	/local-scratch/data/opengwas/igd/ukb-b-16609/ukb-b-16609.vcf.gz	Target heart rate achieved	68426
ukb-b-16635	/local-scratch/data/opengwas/igd/ukb-b-16635/ukb-b-16635.vcf.gz	Types of spreads/sauces consumed: Yeast extract	64949
ukb-b-16636	/local-scratch/data/opengwas/igd/ukb-b-16636/ukb-b-16636.vcf.gz	PCT responsible for patient data: SANDWELL PCT	463010
ukb-b-16639	/local-scratch/data/opengwas/igd/ukb-b-16639/ukb-b-16639.vcf.gz	Vitamin and/or mineral supplement use: Selenium	64949
ukb-b-16641	/local-scratch/data/opengwas/igd/ukb-b-16641/ukb-b-16641.vcf.gz	Diagnoses - secondary ICD10: Z90.1 Acquired absence of breast(s)	463010
ukb-b-16652	/local-scratch/data/opengwas/igd/ukb-b-16652/ukb-b-16652.vcf.gz	Non-cancer illness code, self-reported: pleurisy	462933
